MAG,GTDB
p__Actinobacteria,p__Actinobacteriota
p__Elusimicrobia,p__Elusimicrobiota
p__Planctomycetes,p__Planctomycetota
p__Lentisphaerae,p__Verrucomicrobiota
f__Prevotellaceae,f__Bacteroidaceae
f__Spirochaetacea,classified to different taxons,e.g.f__Treponemataceae;f__Treponemataceae_B;f__Sphaerochaetaceae
g__prevotella,g__Prevotella, 
g__Sutteralla,g__Sutterella, None
s__Acidaminococcus fermentans ,s__Acidaminococcus fermentans
s__Bifidobacterium_merycicum,s__Bifidobacterium merycicum
s__Thermobifida fusca ,s__Thermobifida fusca
s__Megasphaera sp. DJF_B143,null
s__Streptococcus_equinus,s__Streptococcus equinus